age_group,race_ethnicity,sex,confirmed_cases,hosp,icu,medcond,deaths_2wk
60 - 69 Years,"American Indian/Alaska Native, Non-Hispanic",Male,1,0,0,0,2
70 - 79 Years,"American Indian/Alaska Native, Non-Hispanic",Female,3,1,0,0,1
70 - 79 Years,"American Indian/Alaska Native, Non-Hispanic",Male,1,1,0,0,2
30 - 39 Years,"Asian, Non-Hispanic",Male,7,1,0,1,1
40 - 49 Years,"Asian, Non-Hispanic",Female,22,2,0,0,1
50 - 59 Years,"Asian, Non-Hispanic",Male,26,13,4,12,1
60 - 69 Years,"Asian, Non-Hispanic",Male,28,16,3,13,2
70 - 79 Years,"Asian, Non-Hispanic",Female,10,7,1,6,3
70 - 79 Years,"Asian, Non-Hispanic",Male,15,13,5,4,2
80+ Years,"Asian, Non-Hispanic",Female,12,11,2,5,5
80+ Years,"Asian, Non-Hispanic",Male,12,11,2,6,5
30 - 39 Years,"Black, Non-Hispanic",Male,34,7,2,8,1
40 - 49 Years,"Black, Non-Hispanic",Female,88,16,3,26,3
40 - 49 Years,"Black, Non-Hispanic",Male,57,21,5,17,2
50 - 59 Years,"Black, Non-Hispanic",Female,97,32,4,39,3
50 - 59 Years,"Black, Non-Hispanic",Male,94,42,9,44,7
60 - 69 Years,"Black, Non-Hispanic",Female,82,42,9,33,10
60 - 69 Years,"Black, Non-Hispanic",Male,92,50,8,40,20
70 - 79 Years,"Black, Non-Hispanic",Female,60,41,7,27,11
70 - 79 Years,"Black, Non-Hispanic",Male,62,45,7,34,20
80+ Years,"Black, Non-Hispanic",Female,35,29,1,24,27
80+ Years,"Black, Non-Hispanic",Male,26,21,2,13,16
20 - 29 Years,Hispanic/Latino,Female,77,9,1,16,1
20 - 29 Years,Hispanic/Latino,Male,45,3,0,5,1
40 - 49 Years,Hispanic/Latino,Female,64,16,5,21,1
40 - 49 Years,Hispanic/Latino,Male,87,27,4,25,2
50 - 59 Years,Hispanic/Latino,Female,80,22,4,32,2
50 - 59 Years,Hispanic/Latino,Male,95,44,17,41,11
60 - 69 Years,Hispanic/Latino,Female,62,32,5,31,7
60 - 69 Years,Hispanic/Latino,Male,79,52,11,38,15
70 - 79 Years,Hispanic/Latino,Female,34,24,6,27,8
70 - 79 Years,Hispanic/Latino,Male,57,52,3,42,16
80+ Years,Hispanic/Latino,Female,26,21,0,17,15
80+ Years,Hispanic/Latino,Male,30,26,1,25,20
20 - 29 Years,"Multiple/Other, Non-Hispanic",Male,17,1,0,0,1
50 - 59 Years,"Multiple/Other, Non-Hispanic",Male,28,15,3,6,1
60 - 69 Years,"Multiple/Other, Non-Hispanic",Female,18,5,2,3,2
60 - 69 Years,"Multiple/Other, Non-Hispanic",Male,28,10,4,11,1
70 - 79 Years,"Multiple/Other, Non-Hispanic",Male,10,7,1,4,3
80+ Years,"Multiple/Other, Non-Hispanic",Female,11,7,0,5,4
80+ Years,"Multiple/Other, Non-Hispanic",Male,11,9,0,7,3
40 - 49 Years,"White, Non-Hispanic",Female,132,5,2,29,1
40 - 49 Years,"White, Non-Hispanic",Male,112,15,5,20,7
50 - 59 Years,"White, Non-Hispanic",Female,161,24,5,43,8
50 - 59 Years,"White, Non-Hispanic",Male,183,53,6,41,10
60 - 69 Years,"White, Non-Hispanic",Female,160,45,7,51,14
60 - 69 Years,"White, Non-Hispanic",Male,195,77,15,72,20
70 - 79 Years,"White, Non-Hispanic",Female,110,61,8,34,42
70 - 79 Years,"White, Non-Hispanic",Male,141,80,13,50,44
80+ Years,"White, Non-Hispanic",Female,130,70,7,42,109
80+ Years,"White, Non-Hispanic",Male,121,80,10,46,74
30 - 39 Years,"American Indian/Alaska Native, Non-Hispanic",Male,5,2,0,0,1
40 - 49 Years,"American Indian/Alaska Native, Non-Hispanic",Female,8,4,0,1,1
50 - 59 Years,"American Indian/Alaska Native, Non-Hispanic",Male,3,2,0,0,1
50 - 59 Years,"Asian, Non-Hispanic",Female,20,3,0,0,1
60 - 69 Years,"Asian, Non-Hispanic",Female,30,9,2,4,1
70 - 79 Years,"Asian, Non-Hispanic",Female,8,3,1,0,1
70 - 79 Years,"Asian, Non-Hispanic",Male,12,7,1,2,3
80+ Years,"Asian, Non-Hispanic",Female,20,17,5,3,4
80+ Years,"Asian, Non-Hispanic",Male,10,6,1,1,7
20 - 29 Years,"Black, Non-Hispanic",Female,38,1,1,4,1
30 - 39 Years,"Black, Non-Hispanic",Female,76,10,1,15,1
40 - 49 Years,"Black, Non-Hispanic",Female,77,17,1,20,1
40 - 49 Years,"Black, Non-Hispanic",Male,53,15,0,10,1
50 - 59 Years,"Black, Non-Hispanic",Female,118,31,5,23,1
50 - 59 Years,"Black, Non-Hispanic",Male,88,36,4,22,2
60 - 69 Years,"Black, Non-Hispanic",Female,94,32,6,19,10
60 - 69 Years,"Black, Non-Hispanic",Male,99,54,9,24,13
70 - 79 Years,"Black, Non-Hispanic",Female,64,36,6,16,5
70 - 79 Years,"Black, Non-Hispanic",Male,57,36,1,14,14
80+ Years,"Black, Non-Hispanic",Female,34,19,2,9,11
80+ Years,"Black, Non-Hispanic",Male,23,15,1,6,17
10 - 19 Years,Hispanic/Latino,Female,4,0,0,0,1
30 - 39 Years,Hispanic/Latino,Female,78,16,1,17,1
40 - 49 Years,Hispanic/Latino,Female,73,12,0,7,2
40 - 49 Years,Hispanic/Latino,Male,91,30,5,19,2
50 - 59 Years,Hispanic/Latino,Female,80,27,3,18,1
50 - 59 Years,Hispanic/Latino,Male,85,36,4,16,3
60 - 69 Years,Hispanic/Latino,Female,53,25,3,9,3
60 - 69 Years,Hispanic/Latino,Male,57,31,9,17,5
70 - 79 Years,Hispanic/Latino,Female,26,14,3,8,3
70 - 79 Years,Hispanic/Latino,Male,34,18,3,15,9
80+ Years,Hispanic/Latino,Male,12,9,0,4,4
60 - 69 Years,"Multiple/Other, Non-Hispanic",Male,25,6,0,5,1
70 - 79 Years,"Multiple/Other, Non-Hispanic",Male,21,10,5,6,1
80+ Years,"Multiple/Other, Non-Hispanic",Female,7,5,0,2,2
60 - 69 Years,"Native Hawaiian/Other Pacific Islander, Non-Hispanic",Female,2,1,0,0,1
70 - 79 Years,"Native Hawaiian/Other Pacific Islander, Non-Hispanic",Male,2,1,1,1,1
30 - 39 Years,"White, Non-Hispanic",Female,140,13,0,16,1
30 - 39 Years,"White, Non-Hispanic",Male,122,7,0,9,1
40 - 49 Years,"White, Non-Hispanic",Male,161,28,3,13,1
50 - 59 Years,"White, Non-Hispanic",Female,218,39,5,37,5
50 - 59 Years,"White, Non-Hispanic",Male,220,51,5,35,3
60 - 69 Years,"White, Non-Hispanic",Female,187,47,10,45,10
60 - 69 Years,"White, Non-Hispanic",Male,217,81,12,46,19
70 - 79 Years,"White, Non-Hispanic",Female,148,56,6,26,20
70 - 79 Years,"White, Non-Hispanic",Male,179,85,16,37,22
80+ Years,"White, Non-Hispanic",Female,170,73,4,40,68
80+ Years,"White, Non-Hispanic",Male,146,86,15,46,47
30 - 39 Years,"American Indian/Alaska Native, Non-Hispanic",Male,1,0,0,0,1
40 - 49 Years,"American Indian/Alaska Native, Non-Hispanic",Male,3,1,0,0,1
50 - 59 Years,"American Indian/Alaska Native, Non-Hispanic",Male,4,2,0,1,1
70 - 79 Years,"American Indian/Alaska Native, Non-Hispanic",Female,5,4,0,0,2
80+ Years,"American Indian/Alaska Native, Non-Hispanic",Female,3,3,0,0,1
30 - 39 Years,"Asian, Non-Hispanic",Male,45,4,1,8,1
