date,age_group,race_ethnicity,sex,reported_cases,confirmed_cases,hosp,icu,medcond,deaths
2020-04-01,20 - 29 Years,"American Indian/Alaska Native, Non-Hispanic",Male,3,3,1,0,0,1
2020-04-01,50 - 59 Years,"American Indian/Alaska Native, Non-Hispanic",Male,4,4,1,0,0,2
2020-04-01,30 - 39 Years,"Asian, Non-Hispanic",Male,7,7,1,0,1,1
2020-04-01,40 - 49 Years,"Asian, Non-Hispanic",Male,21,21,7,2,5,2
2020-04-01,50 - 59 Years,"Asian, Non-Hispanic",Female,28,28,10,4,10,3
2020-04-01,50 - 59 Years,"Asian, Non-Hispanic",Male,26,26,13,4,12,5
2020-04-01,60 - 69 Years,"Asian, Non-Hispanic",Female,20,20,7,1,2,1
2020-04-01,60 - 69 Years,"Asian, Non-Hispanic",Male,28,28,16,3,13,10
2020-04-01,70 - 79 Years,"Asian, Non-Hispanic",Female,10,10,7,1,6,7
2020-04-01,70 - 79 Years,"Asian, Non-Hispanic",Male,15,15,13,5,4,9
2020-04-01,80+ Years,"Asian, Non-Hispanic",Female,12,12,11,2,5,9
2020-04-01,80+ Years,"Asian, Non-Hispanic",Male,12,12,11,2,6,11
2020-04-01,20 - 29 Years,"Black, Non-Hispanic",Male,22,22,3,2,5,3
2020-04-01,30 - 39 Years,"Black, Non-Hispanic",Female,54,53,6,1,13,1
2020-04-01,30 - 39 Years,"Black, Non-Hispanic",Male,34,34,7,2,8,1
2020-04-01,40 - 49 Years,"Black, Non-Hispanic",Female,88,88,16,3,26,6
2020-04-01,40 - 49 Years,"Black, Non-Hispanic",Male,58,57,21,5,17,6
2020-04-01,50 - 59 Years,"Black, Non-Hispanic",Female,98,97,32,4,39,5
2020-04-01,50 - 59 Years,"Black, Non-Hispanic",Male,94,94,42,9,44,17
2020-04-01,60 - 69 Years,"Black, Non-Hispanic",Female,85,82,42,9,33,21
2020-04-01,60 - 69 Years,"Black, Non-Hispanic",Male,92,92,50,8,40,25
2020-04-01,70 - 79 Years,"Black, Non-Hispanic",Female,61,60,41,7,27,21
2020-04-01,70 - 79 Years,"Black, Non-Hispanic",Male,62,62,45,7,34,26
2020-04-01,80+ Years,"Black, Non-Hispanic",Female,35,35,29,1,24,23
2020-04-01,80+ Years,"Black, Non-Hispanic",Male,26,26,21,2,13,14
2020-04-01,0 - 9 Years,Hispanic/Latino,Male,4,4,1,1,1,1
2020-04-01,20 - 29 Years,Hispanic/Latino,Female,79,77,9,1,16,2
2020-04-01,30 - 39 Years,Hispanic/Latino,Female,81,81,15,3,27,5
2020-04-01,30 - 39 Years,Hispanic/Latino,Male,69,68,15,1,13,6
2020-04-01,40 - 49 Years,Hispanic/Latino,Female,64,64,16,5,21,3
2020-04-01,40 - 49 Years,Hispanic/Latino,Male,87,87,27,4,25,7
2020-04-01,50 - 59 Years,Hispanic/Latino,Female,80,80,22,4,32,5
2020-04-01,50 - 59 Years,Hispanic/Latino,Male,95,95,44,17,41,19
2020-04-01,60 - 69 Years,Hispanic/Latino,Female,62,62,32,5,31,16
2020-04-01,60 - 69 Years,Hispanic/Latino,Male,79,79,52,11,38,29
2020-04-01,70 - 79 Years,Hispanic/Latino,Female,34,34,24,6,27,16
2020-04-01,70 - 79 Years,Hispanic/Latino,Male,57,57,52,3,42,30
2020-04-01,80+ Years,Hispanic/Latino,Female,26,26,21,0,17,16
2020-04-01,80+ Years,Hispanic/Latino,Male,30,30,26,1,25,23
2020-04-01,40 - 49 Years,"Multiple/Other, Non-Hispanic",Female,21,18,2,1,6,1
2020-04-01,50 - 59 Years,"Multiple/Other, Non-Hispanic",Female,23,21,5,1,5,3
2020-04-01,50 - 59 Years,"Multiple/Other, Non-Hispanic",Male,30,28,15,3,6,5
2020-04-01,60 - 69 Years,"Multiple/Other, Non-Hispanic",Female,19,18,5,2,3,1
2020-04-01,60 - 69 Years,"Multiple/Other, Non-Hispanic",Male,28,28,10,4,11,3
2020-04-01,70 - 79 Years,"Multiple/Other, Non-Hispanic",Female,16,16,8,1,8,5
2020-04-01,70 - 79 Years,"Multiple/Other, Non-Hispanic",Male,10,10,7,1,4,8
2020-04-01,80+ Years,"Multiple/Other, Non-Hispanic",Female,11,11,7,0,5,6
2020-04-01,80+ Years,"Multiple/Other, Non-Hispanic",Male,11,11,9,0,7,6
2020-04-01,70 - 79 Years,"Native Hawaiian/Other Pacific Islander, Non-Hispanic",Female,2,2,1,0,1,1
2020-04-01,30 - 39 Years,"White, Non-Hispanic",Female,124,120,6,0,18,1
