age_group,race_ethnicity,sex,cases,hosp,icu,medcond,deaths_roll
20 - 29 Years,"American Indian/Alaska Native, Non-Hispanic",Male,3,1,0,0,0.14285714285714285
30 - 39 Years,"American Indian/Alaska Native, Non-Hispanic",Female,2,0,0,0,0.07142857142857142
30 - 39 Years,"American Indian/Alaska Native, Non-Hispanic",Male,1,1,0,0,0.14285714285714285
40 - 49 Years,"American Indian/Alaska Native, Non-Hispanic",Female,4,1,0,0,0.21428571428571427
40 - 49 Years,"American Indian/Alaska Native, Non-Hispanic",Male,2,0,0,0,0.14285714285714285
50 - 59 Years,"American Indian/Alaska Native, Non-Hispanic",Female,4,1,0,1,0.21428571428571427
50 - 59 Years,"American Indian/Alaska Native, Non-Hispanic",Male,4,1,0,0,0.5
60 - 69 Years,"American Indian/Alaska Native, Non-Hispanic",Female,1,0,0,0,0.42857142857142855
60 - 69 Years,"American Indian/Alaska Native, Non-Hispanic",Male,1,0,0,0,0.6428571428571429
70 - 79 Years,"American Indian/Alaska Native, Non-Hispanic",Female,3,1,0,0,0.7142857142857143
70 - 79 Years,"American Indian/Alaska Native, Non-Hispanic",Male,1,1,0,0,1.1428571428571428
20 - 29 Years,"Asian, Non-Hispanic",Female,14,0,0,0,0.07142857142857142
20 - 29 Years,"Asian, Non-Hispanic",Male,12,1,0,2,0.07142857142857142
30 - 39 Years,"Asian, Non-Hispanic",Female,23,5,0,3,0.14285714285714285
30 - 39 Years,"Asian, Non-Hispanic",Male,7,1,0,1,0.7857142857142857
40 - 49 Years,"Asian, Non-Hispanic",Female,22,2,0,0,0.5
40 - 49 Years,"Asian, Non-Hispanic",Male,21,7,2,5,0.6428571428571429
50 - 59 Years,"Asian, Non-Hispanic",Female,28,10,4,10,1.6428571428571428
50 - 59 Years,"Asian, Non-Hispanic",Male,26,13,4,12,3.857142857142857
60 - 69 Years,"Asian, Non-Hispanic",Female,20,7,1,2,3.2142857142857144
60 - 69 Years,"Asian, Non-Hispanic",Male,28,16,3,13,9.928571428571429
70 - 79 Years,"Asian, Non-Hispanic",Female,10,7,1,6,6.0
