date,total,conf,male,age0_29,age30_39,age40_49,age50_59,age60_69,age70_79,age80_up,r_asian,r_mult,r_black,r_hisp,hosp,icu,medcond,deaths,onset
2020-01-01,12,8,5,1,3,2,2,2,2,0,1,2,1,0,1,1,2,0,56
2020-01-02,3,3,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,11
2020-01-03,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,9
2020-01-05,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
2020-01-08,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
2020-01-09,2,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3
2020-01-10,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14
2020-01-11,2,1,2,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,10
2020-01-12,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,10
2020-01-13,2,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,2,0,12
2020-01-14,19,18,9,1,6,4,3,2,2,1,3,1,0,4,2,0,0,0,9
2020-01-15,8,4,6,2,0,3,3,0,0,0,0,1,0,1,0,0,2,0,43
2020-01-17,5,4,3,2,0,1,0,2,0,0,0,0,1,1,0,0,0,0,11
2020-01-18,3,2,2,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,7
2020-01-19,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6
2020-01-20,7,3,4,4,0,1,0,0,1,1,0,1,1,1,1,1,3,0,29
2020-01-21,9,8,5,5,2,0,1,0,1,0,1,0,0,0,1,1,1,0,12
2020-01-22,5,5,2,2,0,0,0,1,1,1,1,0,0,0,1,0,1,0,8
2020-01-23,4,3,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,10
2020-01-24,5,5,2,2,1,1,0,1,0,0,1,0,1,0,1,0,1,0,12
2020-01-25,4,4,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,14
